SFPUC Code,Facility,Notes,Dpt.,General Building Category,Facility Type,ENERGY STAR Bldg Type,Year Built,Year Renov.,2013 Building Area (sq. ft.),2013 Site EUI (kBtu/sq.ft.),2013 ENERGY STAR rating
1684,Moscone Center West,,CFD,Convention Centers,convention facility,Other,2002,,775000,74.3,N/A
XXX,Moscone Center North & South,"Adjacent facilities combined for benchmarking, due to shared mechanical systems.",CFD,Convention Centers,convention facility,Other,1981,1992,1296000,58.3,N/A
102,Bill Graham Civic Auditorium,"(2) Bill Graham Civic Auditorium and DPH Central Office receive steam from the Civic Center steam loop that is unmetered at individual facility level. For purposes of this report, the metered use at the steam loop is apportioned based on each building’s square footage, but may be over reported here due to leaks and other losses in the steam loop itself. A steam meter was installed at City Hall at the beginning of 2012.",RED,Performance Halls,performance hall,Other,1915,1989,302250,67.8,N/A
XXX,War Memorial Veterans Building & Opera House,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,WMPAC,Performance Halls,performance hall,Other,1932,,529700,67.1,N/A
468,Davies Symphony Hall / Zellerbach Rehearsal Hall,"Adjacent facilities combined for benchmarking, due to shared mechanical systems.",WMPAC,Performance Halls,performance hall,Other,1980,,229500,55.9,N/A
317,GGP -- Sharon Arts Studio,,RPD,Museums and Art,art/cultural center,Other,1888,1992,11376,77.1,N/A
378,Randall Museum,,RPD,Museums and Art,art/cultural center,Other,1951,,32030,72.3,N/A
3,SOMArts Cultural Center,,SFAC,Museums and Art,art/cultural center,Other,1906,,17844,32.2,N/A
302,Harvey Milk Center for the Arts,,RPD,Museums and Art,art/cultural center,Other,1950,2009,23125,28.9,N/A
4,Mission Cultural Center for Latino Arts,,SFAC,Museums and Art,art/cultural center,Other,1948,,32230,28.3,N/A
2,African American Art & Culture Complex,,SFAC,Museums and Art,art/cultural center,Other,1935,,34031,27.9,N/A
5,Bayview Opera House,,SFAC,Museums and Art,art/cultural center,Other,1888,,14000,8.8,N/A
1,Arts Commission Window Site / Gallery,,SFAC,Museums and Art,art/cultural center,Other,1914,,4163,8.7,N/A
236,California Palace of the Legion of Honor,,FAMSF,Museums and Art,museum,Other,1924,1995,117665,282.7,N/A
293,GGP -- Conservatory of Flowers,"Facilities in Golden Gate Park, in cases where electrical meters specific to the facility cannot be located.",RPD,Museums and Art,museum,Other,1879,2003,27900,212.2,N/A
1333,Asian Art Museum,,AAM,Museums and Art,museum,Other,1917,2003,185000,194,N/A
237,De Young Museum,,FAMSF,Museums and Art,museum,Other,2005,,292500,180.1,N/A
697,California Academy of Sciences,,CAS,Museums and Art,museum,Other,2008,,426000,147.5,N/A
292,Coit Tower,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Museums and Art,museum,Other,1933,2012,5687,54.1,N/A
412,Argonne CDC,,SFUSD,Education,Childcare/Nursery School,Other,2001,,2500,106,N/A
2018,Zaida T Rodriguez Early Education,,SFUSD,Education,Childcare/Nursery School,Other,1976,,1800,104.4,N/A
69,Earl P Mills Community Center,,HSA,Education,childcare/nursery school,Other,1971,,15000,61,N/A
1104,Noriega CDC,,SFUSD,Education,Childcare/Nursery School,Other,1951,,14700,49.4,N/A
723,Junipero Serra Annex CDC,,SFUSD,Education,Childcare/Nursery School,Other,1970,,5800,50,N/A
1074,Commodore Stockton CDC,,SFUSD,Education,Childcare/Nursery School,Other,1924,,21255,48.8,N/A
420,Jefferson Early Education,,SFUSD,Education,Childcare/Nursery School,Other,1960,,2400,43.9,N/A
1014,John McLaren CDC,,SFUSD,Education,Childcare/Nursery School,Other,1954,,57885,42.7,N/A
1910,Sojourner Truth Child Center,,HSA,Education,childcare/nursery school,Other,1971,,5184,38.2,N/A
820,Playmates Nursery,,SFUSD,Education,Childcare/Nursery School,Other,1954,,3000,34.8,N/A
1133,Leola M Havard Early Education,,SFUSD,Education,Childcare/Nursery School,Other,1969,,74100,32.3,N/A
416,Theresa Mahler CDC,,SFUSD,Education,Childcare/Nursery School,Other,1943,,5339,31.7,N/A
414,Mission CDC,,SFUSD,Education,Childcare/Nursery School,Other,1976,,4100,29.9,N/A
1911,MLK Child Care Center,,HSA,Education,childcare/nursery school,Other,1971,,7409,24.8,N/A
1131,Tule Elk Park CDC,,SFUSD,Education,Childcare/Nursery School,Other,1923,,32000,26.3,N/A
1019,San Miguel CDC,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFUSD,Education,Childcare/Nursery School,Other,1929,1953,52545,22.2,N/A
419,SFUSD -- SPEd Medical Therapy Unit (Laguna),,SFUSD,Education,Childcare/Nursery School,Other,1972,,12400,15.2,N/A
1908,Shorey Childrens Center,,HSA,Education,childcare/nursery school,Other,1971,,9700,7.7,N/A
2034,Visitacion Valley Family Resource Center,,RED,Education,Childcare/Nursery School,Other,1940,,12000,6.4,N/A
80,SFPD Academy,,SFPD,Education,college/adult education,Other,1966,,19332,159,N/A
1137,GGP -- Senior Center,,RPD,Education,college/adult education,Other,1930,,5940,141.7,N/A
424,CCSF -- Ocean Campus,,CCSF,Education,college/adult education,Other,1940,,931000,127.9,N/A
721,Southeast Community Facility and Greenhouses  (5),,SFPUC,Education,college/adult education,Other,1986,,193400,99.8,N/A
1037,CCSF -- Mission Center,,CCSF,Education,college/adult education,Other,1939,2005,138129,81.5,N/A
426,CCSF -- Downtown Center,,CCSF,Education,college/adult education,Other,1978,,86038,61.5,N/A
1797,Sheriff Community Programs / Five Keys Adult School,,SHF,Education,college/adult education,Other,1959,2004,10842,59.7,N/A
1962,CCSF -- Chinatown / North Beach Center,,CCSF,Education,college/adult education,Other,2012,,157353,37.6,N/A
422,CCSF -- Airport Campus,,CCSF,Education,college/adult education,Other,1975,,27753,31.4,N/A
423,CCSF -- Alemany Campus,,CCSF,Education,college/adult education,Other,1911,,26400,24.7,N/A
429,CCSF -- John Adams Center,,CCSF,Education,college/adult education,Other,1911,2009,151397,24.3,N/A
1162,CCSF -- Evans Center,,CCSF,Education,college/adult education,Other,1984,,90000,21.9,N/A
2038,CCSF -- Chinatown / North Beach Annex,,CCSF,Education,college/adult education,Other,2012,,29411,20.7,N/A
1102,Francis Scott Key Elementary,,SFUSD,Education,K-12 School,K-12 School,1936,,52000,55.5,53
1098,Lafayette Elementary,,SFUSD,Education,K-12 School,K-12 School,1927,,54283,54.8,68
1088,Raoul Wallenberg High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1952,,62840,62.7,
1001,Ida B Wells High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1910,,34300,57.7,
1116,School of the Arts / Academy of Arts and Sciences,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1970,,209500,55.1,
1394,Hilltop County Community High / Sunshine Building,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1937,,61442,55.1,
1099,George Washington High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1936,,228800,53,
1052,International Studies Academy at Enola Maxwell,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1971,,108400,48.6,
1056,SF International High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1980,,33100,45.3,
1051,Philip and Sala Burton High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1963,,230000,44.5,
1084,Gateway High / KIPP San Francisco Bay Academy,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1913,,143237,42,N/A
1064,John O'Connell High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1999,,130091,40.1,
1078,Galileo High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1924,,242400,39.2,
1798,Independence High (Old Laguna Honda),"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1908,,30114,37.2,
1814,Downtown High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1936,,58760,36.9,
1033,Thurgood Marshall High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1957,,149796,34.9,
1044,Mission High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1922,,225000,32.7,
1021,June Jordan High / City Arts and Tech High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1957,,151600,32.6,
1059,Abraham Lincoln High,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1940,,330200,31.6,N/A
1017,Balboa High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1928,,261700,30.5,
1002,Lowell High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1962,,245000,30.2,
1035,Mission Education Center Elementary,,SFUSD,Education,K-12 School,K-12 School,1911,,27000,113.1,12
1025,El Dorado Elementary,,SFUSD,Education,K-12 School,K-12 School,1953,,30300,99.3,8
1392,Claire Lilienthal (K-2 Madison Campus),,SFUSD,Education,K-12 School,K-12 School,1910,,20855,76,29
1012,Visitacion Valley Middle,,SFUSD,Education,K-12 School,K-12 School,1971,,113600,75.8,4
1003,Jose Ortega Elementary,,SFUSD,Education,K-12 School,K-12 School,1953,,35180,69.6,33
1107,Sunset Elementary,,SFUSD,Education,K-12 School,K-12 School,1951,,40150,69.5,31
1106,Robert Louis Stevenson Elementary,,SFUSD,Education,K-12 School,K-12 School,1953,,47500,64.3,59
1096,George Peabody Elementary,,SFUSD,Education,K-12 School,K-12 School,1976,,16229,61.7,28
1046,Paul Revere Elementary,,SFUSD,Education,K-12 School,K-12 School,1928,1968,56400,57.3,34
1027,Dr George Washington Carver Elementary,,SFUSD,Education,K-12 School,K-12 School,1974,,45500,54.5,26
1071,Redding Elementary,,SFUSD,Education,K-12 School,K-12 School,1917,,26100,51.9,75
1008,Sunnyside Elementary,,SFUSD,Education,K-12 School,K-12 School,1927,,30900,51.8,80
1109,Ulloa Elementary,,SFUSD,Education,K-12 School,K-12 School,1952,,53000,51.7,70
1038,Buena Vista / Horace Mann,,SFUSD,Education,K-12 School,K-12 School,1924,,68000,50.3,84
1024,Hillcrest Elementary,,SFUSD,Education,K-12 School,K-12 School,1951,,60280,49.9,43
1028,Malcolm X Elementary,,SFUSD,Education,K-12 School,K-12 School,1957,,50800,49.6,64
1264,Rooftop Alternative (5-8 Mayeda Campus),,SFUSD,Education,K-12 School,K-12 School,1997,,21000,49.1,26
1101,Alamo Elementary,,SFUSD,Education,K-12 School,K-12 School,1924,,50420,47.4,34
1118,Clarendon Elementary,,SFUSD,Education,K-12 School,K-12 School,1962,,39500,47.1,80
1082,Claire Lilienthal (3-8 Winfield Scott Campus),,SFUSD,Education,K-12 School,K-12 School,1930,,34000,47,71
1100,Presidio Middle,,SFUSD,Education,K-12 School,K-12 School,1930,,140000,46.6,71
1067,Civic Center Secondary at John Swett Campus,,SFUSD,Education,K-12 School,K-12 School,1912,,29060,46.2,34
1089,New Traditions Elementary,,SFUSD,Education,K-12 School,K-12 School,1924,,26300,45.9,95
1377,George Moscone Elementary,,SFUSD,Education,K-12 School,K-12 School,1997,,45108,45,35
1105,A P Giannini Middle,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1954,,136392,44.6,N/A
2040,Gateway Middle,,SFUSD,Education,K-12 School,K-12 School,1908,,31121,43.9,77
1005,Longfellow Elementary,,SFUSD,Education,K-12 School,K-12 School,1960,,40500,43.3,75
1110,Jefferson Elementary,,SFUSD,Education,K-12 School,K-12 School,1923,,42434,43.2,61
1086,Dr William Cobb Elementary,,SFUSD,Education,K-12 School,K-12 School,1923,,36246,42.6,62
1111,Lawton Elementary,,SFUSD,Education,K-12 School,K-12 School,1934,,64940,42.2,74
1068,John Muir Elementary,,SFUSD,Education,K-12 School,K-12 School,1928,,53500,42.1,75
1040,Harvey Milk Civil Rights Academy,,SFUSD,Education,K-12 School,K-12 School,1952,,30560,40.9,78
1055,Bryant Elementary and CDC,,SFUSD,Education,K-12 School,K-12 School,1969,,32500,40.5,54
1045,Leonard R Flynn Elementary,,SFUSD,Education,K-12 School,K-12 School,1926,,52700,40.3,77
1061,Bessie Carmichael Elementary,,SFUSD,Education,K-12 School,K-12 School,2000,,56358,40.2,44
1050,E R Taylor Elementary,,SFUSD,Education,K-12 School,K-12 School,1923,,56113,40.1,80
1083,Rosa Parks Elementary / Raphael Weill CDC,,SFUSD,Education,K-12 School,K-12 School,1927,1964,66900,39.6,75
1042,Everett Middle,,SFUSD,Education,K-12 School,K-12 School,1926,,155370,39.6,57
1351,Argonne Elementary,,SFUSD,Education,K-12 School,K-12 School,1997,,52000,39.5,74
1094,Sutro Elementary,,SFUSD,Education,K-12 School,K-12 School,1976,,32860,39.3,64
1004,Sheridan Elementary,,SFUSD,Education,K-12 School,K-12 School,1975,,46335,39.2,74
1114,Alice Fong Yu Elementary,,SFUSD,Education,K-12 School,K-12 School,1914,,59650,38.8,94
1120,Marina Middle,,SFUSD,Education,K-12 School,K-12 School,1936,,152900,38.7,66
1036,James Lick Middle,,SFUSD,Education,K-12 School,K-12 School,1932,,116000,37.9,78
